sku,model,MAE,RMSE,WAPE,MAPE
ORS Sachet (WHO formula),Naive (yesterday),21.28,37.23,11.81,12.54
ORS Sachet (WHO formula),7-day moving average,24.95,46.43,13.85,13.54
ORS Sachet (WHO formula),Seasonal naive (t-7),37.98,69.39,21.08,19.86
ORS Sachet (WHO formula),Ridge + surveillance,20.53,35.59,11.39,11.82
Zinc Sulphate 20mg,Naive (yesterday),30.77,54.23,11.59,16.14
Zinc Sulphate 20mg,7-day moving average,36.62,67.11,13.79,17.88
Zinc Sulphate 20mg,Seasonal naive (t-7),55.5,99.31,20.9,24.83
Zinc Sulphate 20mg,Ridge + surveillance,30.12,52.42,11.34,15.48
Paracetamol 500mg,Naive (yesterday),12.52,23.77,12.39,12.28
Paracetamol 500mg,7-day moving average,14.98,29.95,14.83,12.72
Paracetamol 500mg,Seasonal naive (t-7),22.15,42.63,21.94,18.44
Paracetamol 500mg,Ridge + surveillance,12.33,22.51,12.21,11.36
Artemether-Lumefantrine,Naive (yesterday),2.2,3.9,12.72,13.39
Artemether-Lumefantrine,7-day moving average,2.88,5.17,16.64,15.73
Artemether-Lumefantrine,Seasonal naive (t-7),4.48,7.73,25.9,23.92
Artemether-Lumefantrine,Ridge + surveillance,2.2,3.77,12.7,13.22
Ciprofloxacin 500mg,Naive (yesterday),0.46,0.92,14.76,16.39
Ciprofloxacin 500mg,7-day moving average,0.66,1.09,21.28,24.39
Ciprofloxacin 500mg,Seasonal naive (t-7),1.0,1.65,32.23,35.28
Ciprofloxacin 500mg,Ridge + surveillance,0.5,0.87,16.06,18.91
Iron Folic Acid,Naive (yesterday),20.18,36.5,11.89,12.64
Iron Folic Acid,7-day moving average,25.59,49.54,15.08,13.84
Iron Folic Acid,Seasonal naive (t-7),38.91,74.43,22.93,20.23
Iron Folic Acid,Ridge + surveillance,20.44,35.18,12.05,11.76
Amoxicillin 500mg,Naive (yesterday),18.77,36.76,12.43,14.0
Amoxicillin 500mg,7-day moving average,22.39,45.0,14.82,14.53
Amoxicillin 500mg,Seasonal naive (t-7),33.3,65.52,22.05,20.07
Amoxicillin 500mg,Ridge + surveillance,18.58,34.65,12.3,13.01
Metformin 500mg,Naive (yesterday),41.86,79.47,12.27,13.54
Metformin 500mg,7-day moving average,53.32,98.63,15.63,14.93
Metformin 500mg,Seasonal naive (t-7),81.26,145.9,23.82,21.72
Metformin 500mg,Ridge + surveillance,41.22,74.72,12.08,12.51
